Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name              kernel        rows      cols      block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_tensara_5   basic         8192      8192      64      32      SKIP  SKIP  194.884     11.253      
scale   scale_tensara_5   basic         8192      8192      64      64      SKIP  SKIP  193.041     6.019       
scale   scale_tensara_5   basic         8192      8192      64      128     SKIP  SKIP  133.319     3.734       
scale   scale_tensara_5   basic         8192      8192      128     8       SKIP  SKIP  292.775     21.309      
scale   scale_tensara_5   basic         8192      8192      128     16      SKIP  SKIP  245.494     11.234      
scale   scale_tensara_5   basic         8192      8192      128     32      SKIP  SKIP  143.417     6.019       
scale   scale_tensara_5   basic         8192      8192      128     64      SKIP  SKIP  135.162     3.728       
scale   scale_tensara_5   basic         8192      8192      128     128     SKIP  SKIP  125.552     3.135       
scale   scale_tensara_5   basic         8192      8192      256     8       SKIP  SKIP  177.579     11.241      
scale   scale_tensara_5   basic         8192      8192      256     16      SKIP  SKIP  159.142     6.000       
scale   scale_tensara_5   basic         8192      8192      256     32      SKIP  SKIP  138.127     3.741       
scale   scale_tensara_5   basic         8192      8192      256     64      SKIP  SKIP  123.589     3.134       
scale   scale_tensara_5   basic         8192      8192      256     128     SKIP  SKIP  140.799     3.492       
scale   scale_tensara_5   basic         8192      8192      512     8       SKIP  SKIP  155.789     6.128       
scale   scale_tensara_5   basic         8192      8192      512     16      SKIP  SKIP  133.701     3.734       
scale   scale_tensara_5   basic         8192      8192      512     32      SKIP  SKIP  122.930     3.137       
scale   scale_tensara_5   basic         8192      8192      512     64      SKIP  SKIP  126.874     3.501       
scale   scale_tensara_5   basic         8192      8192      512     128     SKIP  SKIP  123.825     3.183       
shape   shape_1           basic         6144      4096      256     64      SKIP  SKIP  50.161      1.167       
shape   shape_2           basic         4096      7168      256     64      SKIP  SKIP  75.323      1.365       
shape   shape_3           basic         4096      8192      256     64      SKIP  SKIP  71.887      1.553       
shape   shape_4           basic         8192      8192      256     64      SKIP  SKIP  126.097     3.139       
tail    tail_1            basic         2049      2049      256     64      SKIP  SKIP  10.130      0.199       
tail    tail_2            basic         3073      4097      256     64      SKIP  SKIP  27.540      0.587       
tail    tail_3            basic         4097      8193      256     64      SKIP  SKIP  65.733      1.553       
scale   scale_sq          basic         4096      4096      64      8       SKIP  SKIP  89.600      10.415      
scale   scale_sq          basic         4096      4096      64      16      SKIP  SKIP  60.177      5.326       
scale   scale_sq          basic         4096      4096      64      32      SKIP  SKIP  43.709      2.778       
scale   scale_sq          basic         4096      4096      64      64      SKIP  SKIP  35.682      1.511       
scale   scale_sq          basic         4096      4096      64      128     SKIP  SKIP  34.949      0.943       
scale   scale_sq          basic         4096      4096      128     8       SKIP  SKIP  62.893      5.340       
scale   scale_sq          basic         4096      4096      128     16      SKIP  SKIP  46.366      2.786       
scale   scale_sq          basic         4096      4096      128     32      SKIP  SKIP  39.069      1.514       
scale   scale_sq          basic         4096      4096      128     64      SKIP  SKIP  37.224      0.942       
scale   scale_sq          basic         4096      4096      128     128     SKIP  SKIP  40.786      0.784       
scale   scale_sq          basic         4096      4096      256     8       SKIP  SKIP  50.308      2.779       
scale   scale_sq          basic         4096      4096      256     16      SKIP  SKIP  38.391      1.514       
scale   scale_sq          basic         4096      4096      256     32      SKIP  SKIP  38.469      0.943       
scale   scale_sq          basic         4096      4096      256     64      SKIP  SKIP  35.116      0.782       
scale   scale_sq          basic         4096      4096      256     128     SKIP  SKIP  32.774      0.877       
scale   scale_sq          basic         4096      4096      512     8       SKIP  SKIP  39.202      1.512       
scale   scale_sq          basic         4096      4096      512     16      SKIP  SKIP  37.541      0.945       
scale   scale_sq          basic         4096      4096      512     32      SKIP  SKIP  37.523      0.782       
scale   scale_sq          basic         4096      4096      512     64      SKIP  SKIP  32.873      0.877       
scale   scale_sq          basic         4096      4096      512     128     SKIP  SKIP  38.311      0.803       
scale   scale_rect_1      basic         6144      4096      64      8       SKIP  SKIP  134.442     15.611      
scale   scale_rect_1      basic         6144      4096      64      16      SKIP  SKIP  91.349      7.991       
