Timing samples: mode=median repeats=5 warmup_rounds=5
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                    kernel    N             block   grid    cpu     gpu     kernel_ms   
sweep     N=16777216              float4    16777216      512     32      SKIP    SKIP    1.122       
sweep     N=16777216              float4    16777216      512     64      SKIP    SKIP    1.137       
sweep     N=16777216              float4    16777216      512     128     SKIP    SKIP    1.127       
sweep     N=67108864              basic     67108864      64      8       SKIP    SKIP    45.635      
sweep     N=67108864              basic     67108864      64      16      SKIP    SKIP    23.460      
sweep     N=67108864              basic     67108864      64      32      SKIP    SKIP    12.355      
sweep     N=67108864              basic     67108864      64      64      SKIP    SKIP    6.854       
sweep     N=67108864              basic     67108864      64      128     SKIP    SKIP    4.799       
sweep     N=67108864              basic     67108864      128     8       SKIP    SKIP    23.462      
sweep     N=67108864              basic     67108864      128     16      SKIP    SKIP    12.356      
sweep     N=67108864              basic     67108864      128     32      SKIP    SKIP    6.809       
sweep     N=67108864              basic     67108864      128     64      SKIP    SKIP    4.802       
sweep     N=67108864              basic     67108864      128     128     SKIP    SKIP    4.433       
sweep     N=67108864              basic     67108864      256     8       SKIP    SKIP    12.371      
sweep     N=67108864              basic     67108864      256     16      SKIP    SKIP    6.829       
sweep     N=67108864              basic     67108864      256     32      SKIP    SKIP    4.832       
sweep     N=67108864              basic     67108864      256     64      SKIP    SKIP    4.444       
sweep     N=67108864              basic     67108864      256     128     SKIP    SKIP    5.197       
sweep     N=67108864              basic     67108864      512     8       SKIP    SKIP    6.851       
sweep     N=67108864              basic     67108864      512     16      SKIP    SKIP    4.800       
sweep     N=67108864              basic     67108864      512     32      SKIP    SKIP    4.432       
sweep     N=67108864              basic     67108864      512     64      SKIP    SKIP    5.137       
sweep     N=67108864              basic     67108864      512     128     SKIP    SKIP    4.673       
sweep     N=67108864              float4    67108864      64      8       SKIP    SKIP    12.662      
sweep     N=67108864              float4    67108864      64      16      SKIP    SKIP    7.072       
sweep     N=67108864              float4    67108864      64      32      SKIP    SKIP    4.768       
sweep     N=67108864              float4    67108864      64      64      SKIP    SKIP    4.438       
sweep     N=67108864              float4    67108864      64      128     SKIP    SKIP    4.475       
sweep     N=67108864              float4    67108864      128     8       SKIP    SKIP    7.097       
sweep     N=67108864              float4    67108864      128     16      SKIP    SKIP    4.765       
sweep     N=67108864              float4    67108864      128     32      SKIP    SKIP    4.406       
sweep     N=67108864              float4    67108864      128     64      SKIP    SKIP    4.470       
sweep     N=67108864              float4    67108864      128     128     SKIP    SKIP    4.493       
sweep     N=67108864              float4    67108864      256     8       SKIP    SKIP    4.771       
sweep     N=67108864              float4    67108864      256     16      SKIP    SKIP    4.404       
sweep     N=67108864              float4    67108864      256     32      SKIP    SKIP    4.472       
sweep     N=67108864              float4    67108864      256     64      SKIP    SKIP    4.513       
sweep     N=67108864              float4    67108864      256     128     SKIP    SKIP    4.499       
sweep     N=67108864              float4    67108864      512     8       SKIP    SKIP    4.426       
sweep     N=67108864              float4    67108864      512     16      SKIP    SKIP    4.472       
sweep     N=67108864              float4    67108864      512     32      SKIP    SKIP    4.495       
sweep     N=67108864              float4    67108864      512     64      SKIP    SKIP    4.512       
sweep     N=67108864              float4    67108864      512     128     SKIP    SKIP    4.468       
