Timing samples: mode=median repeats=5 warmup_rounds=5 shuffle_seed=6221076 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                        kernel    H           H_out       K       stride  pad     dil     block   grid    cpu     gpu     total_ms    kernel_ms   
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       128     128     SKIP    SKIP    0.692       0.692       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       256     8       SKIP    SKIP    4.353       4.353       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       256     16      SKIP    SKIP    2.221       2.221       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       256     32      SKIP    SKIP    1.174       1.174       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       256     64      SKIP    SKIP    0.742       0.742       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       256     128     SKIP    SKIP    0.825       0.825       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       512     8       SKIP    SKIP    2.363       2.363       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       512     16      SKIP    SKIP    1.227       1.227       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       512     32      SKIP    SKIP    0.713       0.713       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       512     64      SKIP    SKIP    0.860       0.860       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       512     128     SKIP    SKIP    0.689       0.689       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       64      8       SKIP    SKIP    33.037      33.037      
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       64      16      SKIP    SKIP    16.558      16.558      
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       64      32      SKIP    SKIP    8.522       8.522       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       64      64      SKIP    SKIP    4.420       4.420       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       64      128     SKIP    SKIP    2.392       2.392       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       128     8       SKIP    SKIP    16.636      16.636      
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       128     16      SKIP    SKIP    8.370       8.370       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       128     32      SKIP    SKIP    4.411       4.411       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       128     64      SKIP    SKIP    2.385       2.385       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       128     128     SKIP    SKIP    1.920       1.920       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       256     8       SKIP    SKIP    8.496       8.496       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       256     16      SKIP    SKIP    4.389       4.389       
