Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel      rows      cols      alpha   block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_tensara_5 basic       6144      4096      0.010   64      8       SKIP  SKIP  135.087     15.899      
scale   scale_tensara_5 basic       6144      4096      0.010   64      16      SKIP  SKIP  83.816      8.106       
scale   scale_tensara_5 basic       6144      4096      0.010   64      32      SKIP  SKIP  66.724      4.225       
scale   scale_tensara_5 basic       6144      4096      0.010   64      64      SKIP  SKIP  77.100      2.284       
scale   scale_tensara_5 basic       6144      4096      0.010   64      128     SKIP  SKIP  67.380      1.414       
scale   scale_tensara_5 basic       6144      4096      0.010   128     8       SKIP  SKIP  99.639      8.129       
scale   scale_tensara_5 basic       6144      4096      0.010   128     16      SKIP  SKIP  67.934      4.225       
scale   scale_tensara_5 basic       6144      4096      0.010   128     32      SKIP  SKIP  55.080      2.284       
scale   scale_tensara_5 basic       6144      4096      0.010   128     64      SKIP  SKIP  45.329      1.416       
scale   scale_tensara_5 basic       6144      4096      0.010   128     128     SKIP  SKIP  46.044      1.170       
scale   scale_tensara_5 basic       6144      4096      0.010   256     8       SKIP  SKIP  66.130      4.219       
scale   scale_tensara_5 basic       6144      4096      0.010   256     16      SKIP  SKIP  50.894      2.287       
scale   scale_tensara_5 basic       6144      4096      0.010   256     32      SKIP  SKIP  45.103      1.416       
scale   scale_tensara_5 basic       6144      4096      0.010   256     64      SKIP  SKIP  42.938      1.170       
scale   scale_tensara_5 basic       6144      4096      0.010   256     128     SKIP  SKIP  45.369      1.452       
scale   scale_tensara_5 basic       6144      4096      0.010   512     8       SKIP  SKIP  49.919      2.278       
scale   scale_tensara_5 basic       6144      4096      0.010   512     16      SKIP  SKIP  46.882      1.416       
scale   scale_tensara_5 basic       6144      4096      0.010   512     32      SKIP  SKIP  46.859      1.170       
scale   scale_tensara_5 basic       6144      4096      0.010   512     64      SKIP  SKIP  46.995      1.475       
scale   scale_tensara_5 basic       6144      4096      0.010   512     128     SKIP  SKIP  46.198      1.197       
scale   scale_tensara_6 basic       6144      4096      0.050   64      8       SKIP  SKIP  133.954     15.877      
scale   scale_tensara_6 basic       6144      4096      0.050   64      16      SKIP  SKIP  87.805      8.109       
scale   scale_tensara_6 basic       6144      4096      0.050   64      32      SKIP  SKIP  67.135      4.223       
scale   scale_tensara_6 basic       6144      4096      0.050   64      64      SKIP  SKIP  53.101      2.277       
scale   scale_tensara_6 basic       6144      4096      0.050   64      128     SKIP  SKIP  43.340      1.409       
scale   scale_tensara_6 basic       6144      4096      0.050   128     8       SKIP  SKIP  89.541      8.125       
scale   scale_tensara_6 basic       6144      4096      0.050   128     16      SKIP  SKIP  60.972      4.225       
scale   scale_tensara_6 basic       6144      4096      0.050   128     32      SKIP  SKIP  54.791      2.278       
scale   scale_tensara_6 basic       6144      4096      0.050   128     64      SKIP  SKIP  43.717      1.412       
scale   scale_tensara_6 basic       6144      4096      0.050   128     128     SKIP  SKIP  44.323      1.172       
scale   scale_tensara_6 basic       6144      4096      0.050   256     8       SKIP  SKIP  63.757      4.219       
scale   scale_tensara_6 basic       6144      4096      0.050   256     16      SKIP  SKIP  51.283      2.293       
scale   scale_tensara_6 basic       6144      4096      0.050   256     32      SKIP  SKIP  45.939      1.417       
scale   scale_tensara_6 basic       6144      4096      0.050   256     64      SKIP  SKIP  46.330      1.172       
scale   scale_tensara_6 basic       6144      4096      0.050   256     128     SKIP  SKIP  45.388      1.482       
scale   scale_tensara_6 basic       6144      4096      0.050   512     8       SKIP  SKIP  52.710      2.275       
scale   scale_tensara_6 basic       6144      4096      0.050   512     16      SKIP  SKIP  50.506      1.413       
scale   scale_tensara_6 basic       6144      4096      0.050   512     32      SKIP  SKIP  66.685      1.170       
scale   scale_tensara_6 basic       6144      4096      0.050   512     64      SKIP  SKIP  46.413      1.470       
scale   scale_tensara_6 basic       6144      4096      0.050   512     128     SKIP  SKIP  50.399      1.198       
scale   scale_tensara_7 basic       6144      4096      0.100   64      8       SKIP  SKIP  151.359     15.897      
scale   scale_tensara_7 basic       6144      4096      0.100   64      16      SKIP  SKIP  120.730     8.109       
scale   scale_tensara_7 basic       6144      4096      0.100   64      32      SKIP  SKIP  135.376     4.227       
scale   scale_tensara_7 basic       6144      4096      0.100   64      64      SKIP  SKIP  96.801      2.281       
scale   scale_tensara_7 basic       6144      4096      0.100   64      128     SKIP  SKIP  64.334      1.412       
scale   scale_tensara_7 basic       6144      4096      0.100   128     8       SKIP  SKIP  106.664     8.125       
scale   scale_tensara_7 basic       6144      4096      0.100   128     16      SKIP  SKIP  84.231      4.229       
scale   scale_tensara_7 basic       6144      4096      0.100   128     32      SKIP  SKIP  55.533      2.287       
scale   scale_tensara_7 basic       6144      4096      0.100   128     64      SKIP  SKIP  44.735      1.411       
scale   scale_tensara_7 basic       6144      4096      0.100   128     128     SKIP  SKIP  43.250      1.170       
scale   scale_tensara_7 basic       6144      4096      0.100   256     8       SKIP  SKIP  63.628      4.220       
scale   scale_tensara_7 basic       6144      4096      0.100   256     16      SKIP  SKIP  54.011      2.286       
scale   scale_tensara_7 basic       6144      4096      0.100   256     32      SKIP  SKIP  44.708      1.418       
scale   scale_tensara_7 basic       6144      4096      0.100   256     64      SKIP  SKIP  41.655      1.170       
scale   scale_tensara_7 basic       6144      4096      0.100   256     128     SKIP  SKIP  47.741      1.489       
scale   scale_tensara_7 basic       6144      4096      0.100   512     8       SKIP  SKIP  54.948      2.277       
scale   scale_tensara_7 basic       6144      4096      0.100   512     16      SKIP  SKIP  54.025      1.410       
scale   scale_tensara_7 basic       6144      4096      0.100   512     32      SKIP  SKIP  61.449      1.175       
scale   scale_tensara_7 basic       6144      4096      0.100   512     64      SKIP  SKIP  75.830      1.457       
scale   scale_tensara_7 basic       6144      4096      0.100   512     128     SKIP  SKIP  72.425      1.199       
scale   scale_tensara_8 basic       6144      4096      0.200   64      8       SKIP  SKIP  160.115     15.886      
scale   scale_tensara_8 basic       6144      4096      0.200   64      16      SKIP  SKIP  87.378      8.108       
scale   scale_tensara_8 basic       6144      4096      0.200   64      32      SKIP  SKIP  71.296      4.224       
scale   scale_tensara_8 basic       6144      4096      0.200   64      64      SKIP  SKIP  65.414      2.287       
scale   scale_tensara_8 basic       6144      4096      0.200   64      128     SKIP  SKIP  68.711      1.416       
scale   scale_tensara_8 basic       6144      4096      0.200   128     8       SKIP  SKIP  108.287     8.127       
scale   scale_tensara_8 basic       6144      4096      0.200   128     16      SKIP  SKIP  89.980      4.231       
scale   scale_tensara_8 basic       6144      4096      0.200   128     32      SKIP  SKIP  69.720      2.285       
scale   scale_tensara_8 basic       6144      4096      0.200   128     64      SKIP  SKIP  76.158      1.418       
scale   scale_tensara_8 basic       6144      4096      0.200   128     128     SKIP  SKIP  73.912      1.171       
scale   scale_tensara_8 basic       6144      4096      0.200   256     8       SKIP  SKIP  68.151      4.218       
scale   scale_tensara_8 basic       6144      4096      0.200   256     16      SKIP  SKIP  66.110      2.291       
scale   scale_tensara_8 basic       6144      4096      0.200   256     32      SKIP  SKIP  68.214      1.419       
scale   scale_tensara_8 basic       6144      4096      0.200   256     64      SKIP  SKIP  53.888      1.168       
scale   scale_tensara_8 basic       6144      4096      0.200   256     128     SKIP  SKIP  67.852      1.458       
scale   scale_tensara_8 basic       6144      4096      0.200   512     8       SKIP  SKIP  69.689      2.284       
scale   scale_tensara_8 basic       6144      4096      0.200   512     16      SKIP  SKIP  51.653      1.416       
scale   scale_tensara_8 basic       6144      4096      0.200   512     32      SKIP  SKIP  65.369      1.171       
scale   scale_tensara_8 basic       6144      4096      0.200   512     64      SKIP  SKIP  64.967      1.487       
scale   scale_tensara_8 basic       6144      4096      0.200   512     128     SKIP  SKIP  67.308      1.200       
shape   shape_rect      basic       2049      4097      0.100   256     64      SKIP  SKIP  17.509      0.393       
shape   shape_wide      basic       1024      8192      0.050   256     64      SKIP  SKIP  16.435      0.393       
shape   shape_tall      basic       8192      1024      0.200   256     64      SKIP  SKIP  16.661      0.393       
shape   shape_tail      basic       4097      8193      0.010   256     64      SKIP  SKIP  92.041      1.554       
tail    tail_1          basic       2049      2049      0.010   256     64      SKIP  SKIP  17.458      0.200       
tail    tail_2          basic       3073      4097      0.050   256     64      SKIP  SKIP  29.003      0.588       
tail    tail_3          basic       4097      8193      0.100   256     64      SKIP  SKIP  71.135      1.560       
scale   scale_sq        basic       4096      4096      0.010   64      8       SKIP  SKIP  107.823     13.402      
scale   scale_sq        basic       4096      4096      0.010   64      16      SKIP  SKIP  64.025      6.708       
scale   scale_sq        basic       4096      4096      0.010   64      32      SKIP  SKIP  40.529      2.820       
scale   scale_sq        basic       4096      4096      0.010   64      64      SKIP  SKIP  36.409      1.531       
scale   scale_sq        basic       4096      4096      0.010   64      128     SKIP  SKIP  30.261      0.952       
scale   scale_sq        basic       4096      4096      0.010   128     8       SKIP  SKIP  62.785      5.414       
scale   scale_sq        basic       4096      4096      0.010   128     16      SKIP  SKIP  41.542      2.825       
scale   scale_sq        basic       4096      4096      0.010   128     32      SKIP  SKIP  38.305      1.529       
scale   scale_sq        basic       4096      4096      0.010   128     64      SKIP  SKIP  29.620      0.949       
scale   scale_sq        basic       4096      4096      0.010   128     128     SKIP  SKIP  32.568      0.779       
scale   scale_sq        basic       4096      4096      0.010   256     8       SKIP  SKIP  44.858      2.818       
scale   scale_sq        basic       4096      4096      0.010   256     16      SKIP  SKIP  38.456      1.535       
scale   scale_sq        basic       4096      4096      0.010   256     32      SKIP  SKIP  32.218      0.951       
scale   scale_sq        basic       4096      4096      0.010   256     64      SKIP  SKIP  29.927      0.781       
scale   scale_sq        basic       4096      4096      0.010   256     128     SKIP  SKIP  32.176      0.880       
scale   scale_sq        basic       4096      4096      0.010   512     8       SKIP  SKIP  36.717      1.529       
scale   scale_sq        basic       4096      4096      0.010   512     16      SKIP  SKIP  32.656      0.948       
scale   scale_sq        basic       4096      4096      0.010   512     32      SKIP  SKIP  30.432      0.784       
scale   scale_sq        basic       4096      4096      0.010   512     64      SKIP  SKIP  32.689      0.882       
scale   scale_sq        basic       4096      4096      0.010   512     128     SKIP  SKIP  30.272      0.801       
scale   scale_rect_1    basic       6144      4096      0.100   64      8       SKIP  SKIP  135.411     15.883      
scale   scale_rect_1    basic       6144      4096      0.100   64      16      SKIP  SKIP  91.585      8.108       
scale   scale_rect_1    basic       6144      4096      0.100   64      32      SKIP  SKIP  96.802      4.233       
scale   scale_rect_1    basic       6144      4096      0.100   64      64      SKIP  SKIP  94.583      2.278       
scale   scale_rect_1    basic       6144      4096      0.100   64      128     SKIP  SKIP  123.386     1.413       
scale   scale_rect_1    basic       6144      4096      0.100   128     8       SKIP  SKIP  132.796     8.124       
scale   scale_rect_1    basic       6144      4096      0.100   128     16      SKIP  SKIP  82.204      4.228       
scale   scale_rect_1    basic       6144      4096      0.100   128     32      SKIP  SKIP  72.249      2.285       
scale   scale_rect_1    basic       6144      4096      0.100   128     64      SKIP  SKIP  66.871      1.416       
scale   scale_rect_1    basic       6144      4096      0.100   128     128     SKIP  SKIP  45.993      1.169       
scale   scale_rect_1    basic       6144      4096      0.100   256     8       SKIP  SKIP  62.570      4.221       
scale   scale_rect_1    basic       6144      4096      0.100   256     16      SKIP  SKIP  67.730      2.284       
scale   scale_rect_1    basic       6144      4096      0.100   256     32      SKIP  SKIP  67.366      1.416       
scale   scale_rect_1    basic       6144      4096      0.100   256     64      SKIP  SKIP  66.028      1.169       
scale   scale_rect_1    basic       6144      4096      0.100   256     128     SKIP  SKIP  71.560      1.494       
scale   scale_rect_1    basic       6144      4096      0.100   512     8       SKIP  SKIP  75.270      2.284       
scale   scale_rect_1    basic       6144      4096      0.100   512     16      SKIP  SKIP  63.650      1.415       
scale   scale_rect_1    basic       6144      4096      0.100   512     32      SKIP  SKIP  49.437      1.171       
scale   scale_rect_1    basic       6144      4096      0.100   512     64      SKIP  SKIP  56.766      1.483       
scale   scale_rect_1    basic       6144      4096      0.100   512     128     SKIP  SKIP  86.599      1.198       
scale   scale_rect_2    basic       4096      8192      0.050   64      8       SKIP  SKIP  186.979     21.195      
scale   scale_rect_2    basic       4096      8192      0.050   64      16      SKIP  SKIP  116.240     10.850      
scale   scale_rect_2    basic       4096      8192      0.050   64      32      SKIP  SKIP  93.473      5.638       
scale   scale_rect_2    basic       4096      8192      0.050   64      64      SKIP  SKIP  64.834      3.048       
scale   scale_rect_2    basic       4096      8192      0.050   64      128     SKIP  SKIP  61.039      1.872       
scale   scale_rect_2    basic       4096      8192      0.050   128     8       SKIP  SKIP  117.948     10.849      
scale   scale_rect_2    basic       4096      8192      0.050   128     16      SKIP  SKIP  100.771     5.640       
scale   scale_rect_2    basic       4096      8192      0.050   128     32      SKIP  SKIP  88.004      3.055       
scale   scale_rect_2    basic       4096      8192      0.050   128     64      SKIP  SKIP  87.820      1.881       
scale   scale_rect_2    basic       4096      8192      0.050   128     128     SKIP  SKIP  82.615      1.551       
scale   scale_rect_2    basic       4096      8192      0.050   256     8       SKIP  SKIP  101.952     5.668       
scale   scale_rect_2    basic       4096      8192      0.050   256     16      SKIP  SKIP  86.494      3.055       
scale   scale_rect_2    basic       4096      8192      0.050   256     32      SKIP  SKIP  92.345      1.879       
scale   scale_rect_2    basic       4096      8192      0.050   256     64      SKIP  SKIP  74.633      1.555       
scale   scale_rect_2    basic       4096      8192      0.050   256     128     SKIP  SKIP  65.708      1.751       
scale   scale_rect_2    basic       4096      8192      0.050   512     8       SKIP  SKIP  71.752      3.037       
scale   scale_rect_2    basic       4096      8192      0.050   512     16      SKIP  SKIP  62.560      1.876       
scale   scale_rect_2    basic       4096      8192      0.050   512     32      SKIP  SKIP  66.270      1.553       
scale   scale_rect_2    basic       4096      8192      0.050   512     64      SKIP  SKIP  64.113      1.754       
scale   scale_rect_2    basic       4096      8192      0.050   512     128     SKIP  SKIP  61.627      1.675       
small   small_1         float4      4         4         0.010   256     64      SKIP  PASS  0.944       0.005       
small   small_2         float4      2         3         0.100   256     64      SKIP  PASS  0.643       0.005       
small   small_3         float4      3         1         0.200   256     64      SKIP  PASS  0.624       0.005       
medium  medium_1        float4      64        64        0.010   256     64      SKIP  SKIP  1.262       0.026       
medium  medium_2        float4      255       257       0.050   256     64      SKIP  SKIP  0.756       0.006       
medium  medium_3        float4      513       1025      0.100   256     64      SKIP  SKIP  1.837       0.026       
medium  medium_4        float4      1024      1024      0.200   256     64      SKIP  SKIP  2.249       0.051       
medium  medium_tail     float4      257       258       0.200   256     64      SKIP  SKIP  0.615       0.005       
large   large_1         float4      1023      2049      0.050   256     64      SKIP  SKIP  7.820       0.099       
large   large_2         float4      1537      2049      0.100   256     64      SKIP  SKIP  8.734       0.146       
tensara tensara_1       float4      4096      4096      0.010   256     64      SKIP  SKIP  28.457      0.753       
tensara tensara_2       float4      4096      4096      0.050   256     64      SKIP  SKIP  28.691      0.753       
tensara tensara_3       float4      4096      4096      0.100   256     64      SKIP  SKIP  30.211      0.752       
