Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel    N         K       block_x grid_x  cpu   gpu   total_ms    kernel_ms   
64        0.105     0.058     0.035     0.022     0.019     
128       0.058     0.035     0.024     0.018     0.018     
256       0.034     0.025     0.034     0.023     0.023     
512       0.029     0.021     0.022     0.034     0.034     

scale_verify / tiled  best=(64,128) 0.019 ms
block\grid8         16        32        64        128       
64        0.101     0.058     0.039     0.026     0.019     
128       0.063     0.039     0.029     0.020     0.019     
256       0.044     0.029     0.020     0.027     0.027     
512       0.036     0.029     0.030     0.043     0.044     

scale_verify / tiled_c  best=(64,128) 0.015 ms
block\grid8         16        32        64        128       
64        0.089     0.050     0.032     0.023     0.015     
128       0.052     0.033     0.065     0.016     0.015     
256       0.036     0.024     0.017     0.018     0.018     
512       0.027     0.020     0.020     0.028     0.028     

scale_verify / bstride  best=(128,64) 0.014 ms
block\grid8         16        32        64        128       
64        0.057     0.031     0.023     0.018     0.015     
128       0.037     0.025     0.018     0.014     0.014     
256       0.036     0.038     0.015     0.023     0.023     
512       0.039     0.023     0.023     0.040     0.039     

scale_verify / bstride_c  best=(128,64) 0.010 ms
block\grid8         16        32        64        128       
64        0.043     0.026     0.017     0.014     0.011     
128       0.029     0.019     0.014     0.010     0.011     
256       0.020     0.016     0.011     0.014     0.030     
512       0.024     0.014     0.014     0.023     0.023     
