Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     512     128    REF   PASS       0.533       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3      64       8    REF   PASS       0.513       0.007
scale   scale_tail        basic_ldg           4097        1025       7       4       3      64      16    REF   PASS       0.454       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3      64      32    REF   PASS       0.460       0.005
scale   scale_tail        basic_ldg           4097        1025       7       4       3      64      64    REF   PASS       0.440       0.005
scale   scale_tail        basic_ldg           4097        1025       7       4       3      64     128    REF   PASS       0.475       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     128       8    REF   PASS       0.449       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     128      16    REF   PASS       0.443       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     128      32    REF   PASS       0.437       0.005
scale   scale_tail        basic_ldg           4097        1025       7       4       3     128      64    REF   PASS       0.420       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     128     128    REF   PASS       0.426       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     256       8    REF   PASS       0.461       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     256      16    REF   PASS       0.433       0.005
scale   scale_tail        basic_ldg           4097        1025       7       4       3     256      32    REF   PASS       0.456       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     256      64    REF   PASS       0.436       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     256     128    REF   PASS       0.528       0.007
scale   scale_tail        basic_ldg           4097        1025       7       4       3     512       8    REF   PASS       0.473       0.007
scale   scale_tail        basic_ldg           4097        1025       7       4       3     512      16    REF   PASS       0.449       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     512      32    REF   PASS       0.436       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     512      64    REF   PASS       0.457       0.006
scale   scale_tail        basic_ldg           4097        1025       7       4       3     512     128    REF   PASS       0.450       0.006
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0      64       8    REF   PASS       0.441       0.006
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0      64      16    REF   PASS       0.434       0.005
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0      64      32    REF   PASS       0.587       0.006
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0      64      64    REF   PASS       0.442       0.006
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0      64     128    REF   PASS       0.423       0.006
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     128       8    REF   PASS       0.417       0.005
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     128      16    REF   PASS       0.424       0.007
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     128      32    REF   PASS       0.430       0.006
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     128      64    REF   PASS       0.470       0.006
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     128     128    REF   PASS       0.750       0.005
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     256       8    REF   PASS       0.847       0.007
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     256      16    REF   PASS       0.685       0.006
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     256      32    REF   PASS       0.686       0.007
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     256      64    REF   PASS       0.544       0.005
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     256     128    REF   PASS       0.538       0.005
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     512       8    REF   PASS       0.473       0.005
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     512      16    REF   PASS       0.486       0.005
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     512      32    REF   PASS       0.473       0.006
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     512      64    REF   PASS       0.488       0.006
scale   scale_kernel_1    basic_ldg           1024        1024       1       1       0     512     128    REF   PASS       0.449       0.005
small   pad_stride_1      coop_shared            5           5       3       1       1     256      64   PASS   PASS       0.565       0.005
small   stride_2          coop_shared            6           3       2       2       0     256      64   PASS   PASS       0.460       0.005
small   wide_pad          coop_shared            4           5       4       1       2     256      64   PASS   PASS       0.506       0.006
small   kernel_1          coop_shared            4           4       1       1       0     256      64   PASS   PASS       0.462       0.006
small   pad_stride_2      coop_shared            3           3       3       2       2     256      64   PASS   PASS       0.621       0.006
small   stride_gap        coop_shared            7           2       2       3       0     256      64   PASS   PASS       0.986       0.006
small   pad_zero_windows  coop_shared            1           6       2       1       3     256      64   PASS   PASS       0.490       0.005
small   zero_output       coop_shared            2           0       5       1       0     256      64   PASS   PASS       0.000       0.000
medium  sample            coop_shared           16           8       3       2       1     256      64    REF   PASS       0.498       0.005
medium  medium_1          coop_shared         4096        1024       7       4       3     256      64    REF   PASS       0.495       0.006
medium  medium_2          coop_shared        65536       32768       3       2       1     256      64    REF   PASS       0.648       0.009
medium  medium_3          coop_shared       262144       87382       5       3       2     256      64    REF   PASS       0.770       0.013
large   large_1           coop_shared      1048576      262144       7       4       3     256      64    REF   PASS       1.839       0.050
large   large_2           coop_shared      1048583      349528       5       3       2     256      64    REF   PASS       2.006       0.052
