Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
scale   scale_tensara_4   basic           16777216     8388608       4       2       1      64      32   SKIP   SKIP      29.676       2.342
scale   scale_tensara_4   basic           16777216     8388608       4       2       1      64      64   SKIP   SKIP      23.476       1.244
scale   scale_tensara_4   basic           16777216     8388608       4       2       1      64     128   SKIP   SKIP      19.507       0.739
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     128       8   SKIP   SKIP      45.661       4.586
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     128      16   SKIP   SKIP      30.455       2.346
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     128      32   SKIP   SKIP      22.679       1.244
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     128      64   SKIP   SKIP      23.151       0.742
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     128     128   SKIP   SKIP      19.115       0.605
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     256       8   SKIP   SKIP      29.888       2.402
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     256      16   SKIP   SKIP      24.071       1.244
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     256      32   SKIP   SKIP      19.325       0.740
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     256      64   SKIP   SKIP      19.466       0.608
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     256     128   SKIP   SKIP      38.137       0.730
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     512       8   SKIP   SKIP      24.192       1.321
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     512      16   SKIP   SKIP      19.643       0.726
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     512      32   SKIP   SKIP      19.100       0.606
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     512      64   SKIP   SKIP      19.802       0.716
scale   scale_tensara_4   basic           16777216     8388608       4       2       1     512     128   SKIP   SKIP      19.437       0.635
scale   scale_tensara_5   basic           33554432    33554432       3       1       1      64       8   SKIP   SKIP     292.505      40.595
scale   scale_tensara_5   basic           33554432    33554432       3       1       1      64      16   SKIP   SKIP     170.570      19.277
scale   scale_tensara_5   basic           33554432    33554432       3       1       1      64      32   SKIP   SKIP     125.842       9.728
scale   scale_tensara_5   basic           33554432    33554432       3       1       1      64      64   SKIP   SKIP      76.156       5.035
scale   scale_tensara_5   basic           33554432    33554432       3       1       1      64     128   SKIP   SKIP      64.528       2.742
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     128       8   SKIP   SKIP     160.995      19.074
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     128      16   SKIP   SKIP     101.335       9.553
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     128      32   SKIP   SKIP      75.541       4.990
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     128      64   SKIP   SKIP      68.890       3.309
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     128     128   SKIP   SKIP      55.775       2.120
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     256       8   SKIP   SKIP     103.064       9.672
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     256      16   SKIP   SKIP      75.056       5.030
