Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel    N         K       block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_tensara_1 basic     32768     8191    256     8       SKIP  SKIP  16.527      2.548       
scale   scale_tensara_1 basic_c   32768     8191    256     8       SKIP  SKIP  18.686      2.836       
scale   scale_tensara_1 tiled     32768     8191    256     8       SKIP  SKIP  25.156      3.854       
scale   scale_tensara_1 tiled_c   32768     8191    256     8       SKIP  SKIP  16.727      2.425       
scale   scale_tensara_1 bstride   32768     8191    256     8       SKIP  SKIP  16.279      2.221       
scale   scale_tensara_1 bstride_c 32768     8191    256     8       SKIP  SKIP  8.128       1.151       
scale   scale_tensara_1 basic     32768     8191    256     16      SKIP  SKIP  9.956       1.404       
scale   scale_tensara_1 basic_c   32768     8191    256     16      SKIP  SKIP  11.238      1.574       
scale   scale_tensara_1 tiled     32768     8191    256     16      SKIP  SKIP  13.510      2.034       
scale   scale_tensara_1 tiled_c   32768     8191    256     16      SKIP  SKIP  10.048      1.395       
scale   scale_tensara_1 bstride   32768     8191    256     16      SKIP  SKIP  8.461       1.156       
scale   scale_tensara_1 bstride_c 32768     8191    256     16      SKIP  SKIP  4.541       0.601       
scale   scale_tensara_1 basic     32768     8191    256     32      SKIP  SKIP  8.218       1.181       
scale   scale_tensara_1 basic_c   32768     8191    256     32      SKIP  SKIP  7.634       1.104       
scale   scale_tensara_1 tiled     32768     8191    256     32      SKIP  SKIP  9.834       1.485       
scale   scale_tensara_1 tiled_c   32768     8191    256     32      SKIP  SKIP  6.742       0.969       
scale   scale_tensara_1 bstride   32768     8191    256     32      SKIP  SKIP  8.363       1.222       
scale   scale_tensara_1 bstride_c 32768     8191    256     32      SKIP  SKIP  5.147       0.620       
scale   scale_tensara_1 basic     32768     8191    256     64      SKIP  SKIP  8.043       1.190       
scale   scale_tensara_1 basic_c   32768     8191    256     64      SKIP  SKIP  7.505       1.107       
scale   scale_tensara_1 tiled     32768     8191    256     64      SKIP  SKIP  10.931      1.563       
scale   scale_tensara_1 tiled_c   32768     8191    256     64      SKIP  SKIP  6.983       0.952       
scale   scale_tensara_1 bstride   32768     8191    256     64      SKIP  SKIP  9.775       1.177       
scale   scale_tensara_1 bstride_c 32768     8191    256     64      SKIP  SKIP  4.998       0.601       
scale   scale_tensara_1 basic     32768     8191    256     128     SKIP  SKIP  36.699      0.974       
scale   scale_tensara_1 basic_c   32768     8191    256     128     SKIP  SKIP  6.683       0.879       
