Timing samples: mode=median repeats=5 warmup_rounds=5 shuffle_seed=6221073 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                    kernel        rows    cols    elements      block_x grid_x  cpu     gpu     total_ms    kernel_ms   
scale     tensara_1               basic         128     4096    524288        512     8       SKIP    SKIP    12.198      12.198      
scale     tensara_1               basic         128     4096    524288        512     16      SKIP    SKIP    6.102       6.102       
scale     tensara_1               basic         128     4096    524288        512     32      SKIP    SKIP    4.686       4.686       
scale     tensara_1               basic         128     4096    524288        512     64      SKIP    SKIP    4.557       4.557       
scale     tensara_1               basic         128     4096    524288        512     128     SKIP    SKIP    3.893       3.893       
scale     tensara_1               float4        128     4096    524288        64      8       SKIP    SKIP    20.041      20.041      
scale     tensara_1               float4        128     4096    524288        64      16      SKIP    SKIP    14.445      14.445      
scale     tensara_1               float4        128     4096    524288        64      32      SKIP    SKIP    11.532      11.532      
scale     tensara_1               float4        128     4096    524288        64      64      SKIP    SKIP    10.172      10.172      
scale     tensara_1               float4        128     4096    524288        64      128     SKIP    SKIP    5.213       5.213       
scale     tensara_1               float4        128     4096    524288        128     8       SKIP    SKIP    14.637      14.637      
scale     tensara_1               float4        128     4096    524288        128     16      SKIP    SKIP    10.662      10.662      
scale     tensara_1               float4        128     4096    524288        128     32      SKIP    SKIP    10.106      10.106      
scale     tensara_1               float4        128     4096    524288        128     64      SKIP    SKIP    5.216       5.216       
scale     tensara_1               float4        128     4096    524288        128     128     SKIP    SKIP    2.724       2.724       
scale     tensara_1               float4        128     4096    524288        256     8       SKIP    SKIP    12.679      12.679      
scale     tensara_1               float4        128     4096    524288        256     16      SKIP    SKIP    10.276      10.276      
scale     tensara_1               float4        128     4096    524288        256     32      SKIP    SKIP    4.676       4.676       
scale     tensara_1               float4        128     4096    524288        256     64      SKIP    SKIP    2.732       2.732       
scale     tensara_1               float4        128     4096    524288        256     128     SKIP    SKIP    2.424       2.424       
scale     tensara_1               float4        128     4096    524288        512     8       SKIP    SKIP    10.699      10.699      
scale     tensara_1               float4        128     4096    524288        512     16      SKIP    SKIP    5.379       5.379       
scale     tensara_1               float4        128     4096    524288        512     32      SKIP    SKIP    2.740       2.740       
scale     tensara_1               float4        128     4096    524288        512     64      SKIP    SKIP    2.488       2.488       
scale     tensara_1               float4        128     4096    524288        512     128     SKIP    SKIP    2.391       2.391       
scale     tensara_1               shared        128     4096    524288        64      8       SKIP    SKIP    0.388       0.388       
scale     tensara_1               shared        128     4096    524288        64      16      SKIP    SKIP    0.193       0.193       
scale     tensara_1               shared        128     4096    524288        64      32      SKIP    SKIP    0.113       0.113       
scale     tensara_1               shared        128     4096    524288        64      64      SKIP    SKIP    0.073       0.073       
scale     tensara_1               shared        128     4096    524288        64      128     SKIP    SKIP    0.052       0.052       
scale     tensara_1               shared        128     4096    524288        128     8       SKIP    SKIP    0.186       0.186       
scale     tensara_1               shared        128     4096    524288        128     16      SKIP    SKIP    0.105       0.105       
scale     tensara_1               shared        128     4096    524288        128     32      SKIP    SKIP    0.063       0.063       
scale     tensara_1               shared        128     4096    524288        128     64      SKIP    SKIP    0.045       0.045       
scale     tensara_1               shared        128     4096    524288        128     128     SKIP    SKIP    0.036       0.036       
scale     tensara_1               shared        128     4096    524288        256     8       SKIP    SKIP    0.119       0.119       
scale     tensara_1               shared        128     4096    524288        256     16      SKIP    SKIP    0.066       0.066       
scale     tensara_1               shared        128     4096    524288        256     32      SKIP    SKIP    0.041       0.041       
scale     tensara_1               shared        128     4096    524288        256     64      SKIP    SKIP    0.035       0.035       
scale     tensara_1               shared        128     4096    524288        256     128     SKIP    SKIP    0.037       0.037       
scale     tensara_1               shared        128     4096    524288        512     8       SKIP    SKIP    0.075       0.075       
scale     tensara_1               shared        128     4096    524288        512     16      SKIP    SKIP    0.044       0.044       
scale     tensara_1               shared        128     4096    524288        512     32      SKIP    SKIP    0.037       0.037       
scale     tensara_1               shared        128     4096    524288        512     64      SKIP    SKIP    0.038       0.038       
scale     tensara_1               shared        128     4096    524288        512     128     SKIP    SKIP    0.035       0.035       
scale     tensara_1               shared_float4 128     4096    524288        64      8       SKIP    SKIP    0.117       0.117       
scale     tensara_1               shared_float4 128     4096    524288        64      16      SKIP    SKIP    0.089       0.089       
scale     tensara_1               shared_float4 128     4096    524288        64      32      SKIP    SKIP    0.048       0.048       
scale     tensara_1               shared_float4 128     4096    524288        64      64      SKIP    SKIP    0.031       0.031       
scale     tensara_1               shared_float4 128     4096    524288        64      128     SKIP    SKIP    0.038       0.038       
scale     tensara_1               shared_float4 128     4096    524288        128     8       SKIP    SKIP    0.069       0.069       
scale     tensara_1               shared_float4 128     4096    524288        128     16      SKIP    SKIP    0.042       0.042       
scale     tensara_1               shared_float4 128     4096    524288        128     32      SKIP    SKIP    0.032       0.032       
scale     tensara_1               shared_float4 128     4096    524288        128     64      SKIP    SKIP    0.032       0.032       
scale     tensara_1               shared_float4 128     4096    524288        128     128     SKIP    SKIP    0.035       0.035       
scale     tensara_1               shared_float4 128     4096    524288        256     8       SKIP    SKIP    0.049       0.049       
scale     tensara_1               shared_float4 128     4096    524288        256     16      SKIP    SKIP    0.033       0.033       
scale     tensara_1               shared_float4 128     4096    524288        256     32      SKIP    SKIP    0.032       0.032       
scale     tensara_1               shared_float4 128     4096    524288        256     64      SKIP    SKIP    0.034       0.034       
scale     tensara_1               shared_float4 128     4096    524288        256     128     SKIP    SKIP    0.034       0.034       
scale     tensara_1               shared_float4 128     4096    524288        512     8       SKIP    SKIP    0.043       0.043       
scale     tensara_1               shared_float4 128     4096    524288        512     16      SKIP    SKIP    0.034       0.034       
scale     tensara_1               shared_float4 128     4096    524288        512     32      SKIP    SKIP    0.034       0.034       
scale     tensara_1               shared_float4 128     4096    524288        512     64      SKIP    SKIP    0.032       0.032       
scale     tensara_1               shared_float4 128     4096    524288        512     128     SKIP    SKIP    0.033       0.033       
scale     tensara_1               warp          128     4096    524288        64      8       SKIP    SKIP    0.170       0.170       
scale     tensara_1               warp          128     4096    524288        64      16      SKIP    SKIP    0.085       0.085       
scale     tensara_1               warp          128     4096    524288        64      32      SKIP    SKIP    0.059       0.059       
scale     tensara_1               warp          128     4096    524288        64      64      SKIP    SKIP    0.068       0.068       
scale     tensara_1               warp          128     4096    524288        64      128     SKIP    SKIP    0.068       0.068       
scale     tensara_1               warp          128     4096    524288        128     8       SKIP    SKIP    0.111       0.111       
scale     tensara_1               warp          128     4096    524288        128     16      SKIP    SKIP    0.065       0.065       
scale     tensara_1               warp          128     4096    524288        128     32      SKIP    SKIP    0.066       0.066       
scale     tensara_1               warp          128     4096    524288        128     64      SKIP    SKIP    0.066       0.066       
scale     tensara_1               warp          128     4096    524288        128     128     SKIP    SKIP    0.067       0.067       
scale     tensara_1               warp          128     4096    524288        256     8       SKIP    SKIP    0.077       0.077       
scale     tensara_1               warp          128     4096    524288        256     16      SKIP    SKIP    0.069       0.069       
scale     tensara_1               warp          128     4096    524288        256     32      SKIP    SKIP    0.066       0.066       
scale     tensara_1               warp          128     4096    524288        256     64      SKIP    SKIP    0.068       0.068       
scale     tensara_1               warp          128     4096    524288        256     128     SKIP    SKIP    0.067       0.067       
scale     tensara_1               warp          128     4096    524288        512     8       SKIP    SKIP    0.067       0.067       
scale     tensara_1               warp          128     4096    524288        512     16      SKIP    SKIP    0.068       0.068       
scale     tensara_1               warp          128     4096    524288        512     32      SKIP    SKIP    0.065       0.065       
scale     tensara_1               warp          128     4096    524288        512     64      SKIP    SKIP    0.071       0.071       
scale     tensara_1               warp          128     4096    524288        512     128     SKIP    SKIP    0.070       0.070       
scale     tensara_1               warp_float4   128     4096    524288        64      8       SKIP    SKIP    0.076       0.076       
scale     tensara_1               warp_float4   128     4096    524288        64      16      SKIP    SKIP    0.044       0.044       
scale     tensara_1               warp_float4   128     4096    524288        64      32      SKIP    SKIP    0.036       0.036       
scale     tensara_1               warp_float4   128     4096    524288        64      64      SKIP    SKIP    0.034       0.034       
scale     tensara_1               warp_float4   128     4096    524288        64      128     SKIP    SKIP    0.034       0.034       
scale     tensara_1               warp_float4   128     4096    524288        128     8       SKIP    SKIP    0.048       0.048       
scale     tensara_1               warp_float4   128     4096    524288        128     16      SKIP    SKIP    0.039       0.039       
scale     tensara_1               warp_float4   128     4096    524288        128     32      SKIP    SKIP    0.037       0.037       
scale     tensara_1               warp_float4   128     4096    524288        128     64      SKIP    SKIP    0.033       0.033       
scale     tensara_1               warp_float4   128     4096    524288        128     128     SKIP    SKIP    0.045       0.045       
scale     tensara_1               warp_float4   128     4096    524288        256     8       SKIP    SKIP    0.040       0.040       
scale     tensara_1               warp_float4   128     4096    524288        256     16      SKIP    SKIP    0.034       0.034       
scale     tensara_1               warp_float4   128     4096    524288        256     32      SKIP    SKIP    0.038       0.038       
scale     tensara_1               warp_float4   128     4096    524288        256     64      SKIP    SKIP    0.036       0.036       
scale     tensara_1               warp_float4   128     4096    524288        256     128     SKIP    SKIP    0.038       0.038       
scale     tensara_1               warp_float4   128     4096    524288        512     8       SKIP    SKIP    0.038       0.038       
scale     tensara_1               warp_float4   128     4096    524288        512     16      SKIP    SKIP    0.037       0.037       
scale     tensara_1               warp_float4   128     4096    524288        512     32      SKIP    SKIP    0.046       0.046       
scale     tensara_1               warp_float4   128     4096    524288        512     64      SKIP    SKIP    0.043       0.043       
scale     tensara_1               warp_float4   128     4096    524288        512     128     SKIP    SKIP    0.041       0.041       
scale     tensara_2               basic         256     4096    1048576       64      8       SKIP    SKIP    114.064     114.064     
scale     tensara_2               basic         256     4096    1048576       64      16      SKIP    SKIP    69.243      69.243      
scale     tensara_2               basic         256     4096    1048576       64      32      SKIP    SKIP    43.259      43.259      
scale     tensara_2               basic         256     4096    1048576       64      64      SKIP    SKIP    22.017      22.017      
scale     tensara_2               basic         256     4096    1048576       64      128     SKIP    SKIP    11.336      11.336      
scale     tensara_2               basic         256     4096    1048576       128     8       SKIP    SKIP    72.462      72.462      
