Timing samples: mode=median repeats=5 warmup_rounds=5
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                        kernel    N       scalar    block   grid    cpu     gpu     kernel_ms   
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    128     32      SKIP    SKIP    5.892       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    128     64      SKIP    SKIP    3.673       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    128     128     SKIP    SKIP    3.144       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    256     8       SKIP    SKIP    10.862      
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    256     16      SKIP    SKIP    5.877       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    256     32      SKIP    SKIP    3.690       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    256     64      SKIP    SKIP    3.133       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    256     128     SKIP    SKIP    3.485       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    512     8       SKIP    SKIP    5.873       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    512     16      SKIP    SKIP    3.681       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    512     32      SKIP    SKIP    3.127       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    512     64      SKIP    SKIP    3.493       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    512     128     SKIP    SKIP    3.167       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    64      8       SKIP    SKIP    11.274      
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    64      16      SKIP    SKIP    6.157       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    64      32      SKIP    SKIP    3.740       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    64      64      SKIP    SKIP    3.081       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    64      128     SKIP    SKIP    2.986       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    128     8       SKIP    SKIP    6.167       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    128     16      SKIP    SKIP    3.731       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    128     32      SKIP    SKIP    3.084       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    128     64      SKIP    SKIP    2.991       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    128     128     SKIP    SKIP    2.991       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    256     8       SKIP    SKIP    3.736       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    256     16      SKIP    SKIP    3.087       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    256     32      SKIP    SKIP    2.989       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    256     64      SKIP    SKIP    2.989       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    256     128     SKIP    SKIP    3.029       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    512     8       SKIP    SKIP    3.087       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    512     16      SKIP    SKIP    2.991       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    512     32      SKIP    SKIP    2.989       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    512     64      SKIP    SKIP    3.038       
sweep     8192x8192 scalar=-0.500000  float4    8192    -0.500    512     128     SKIP    SKIP    2.997       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     64      8       SKIP    SKIP    51.274      
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     64      16      SKIP    SKIP    26.352      
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     64      32      SKIP    SKIP    13.840      
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     64      64      SKIP    SKIP    7.470       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     64      128     SKIP    SKIP    4.668       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     128     8       SKIP    SKIP    26.353      
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     128     16      SKIP    SKIP    13.840      
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     128     32      SKIP    SKIP    7.473       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     128     64      SKIP    SKIP    4.675       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     128     128     SKIP    SKIP    3.968       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     256     8       SKIP    SKIP    13.825      
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     256     16      SKIP    SKIP    7.457       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     256     32      SKIP    SKIP    4.667       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     256     64      SKIP    SKIP    3.967       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     256     128     SKIP    SKIP    4.400       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     512     8       SKIP    SKIP    7.449       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     512     16      SKIP    SKIP    4.687       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     512     32      SKIP    SKIP    3.980       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     512     64      SKIP    SKIP    4.404       
sweep     9216x9216 scalar=0.100000   basic     9216    0.100     512     128     SKIP    SKIP    4.065       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     64      8       SKIP    SKIP    14.412      
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     64      16      SKIP    SKIP    7.808       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     64      32      SKIP    SKIP    4.726       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     64      64      SKIP    SKIP    3.910       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     64      128     SKIP    SKIP    3.783       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     128     8       SKIP    SKIP    7.807       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     128     16      SKIP    SKIP    4.723       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     128     32      SKIP    SKIP    3.900       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     128     64      SKIP    SKIP    3.783       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     128     128     SKIP    SKIP    3.774       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     256     8       SKIP    SKIP    4.714       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     256     16      SKIP    SKIP    3.901       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     256     32      SKIP    SKIP    3.785       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     256     64      SKIP    SKIP    3.779       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     256     128     SKIP    SKIP    3.849       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     512     8       SKIP    SKIP    3.901       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     512     16      SKIP    SKIP    3.783       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     512     32      SKIP    SKIP    3.788       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     512     64      SKIP    SKIP    3.828       
sweep     9216x9216 scalar=0.100000   float4    9216    0.100     512     128     SKIP    SKIP    3.782       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     64      8       SKIP    SKIP    51.280      
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     64      16      SKIP    SKIP    26.345      
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     64      32      SKIP    SKIP    13.841      
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     64      64      SKIP    SKIP    7.468       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     64      128     SKIP    SKIP    4.663       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     128     8       SKIP    SKIP    26.349      
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     128     16      SKIP    SKIP    13.832      
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     128     32      SKIP    SKIP    7.467       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     128     64      SKIP    SKIP    4.667       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     128     128     SKIP    SKIP    3.979       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     256     8       SKIP    SKIP    13.813      
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     256     16      SKIP    SKIP    7.443       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     256     32      SKIP    SKIP    4.662       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     256     64      SKIP    SKIP    3.971       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     256     128     SKIP    SKIP    4.411       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     512     8       SKIP    SKIP    7.448       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     512     16      SKIP    SKIP    4.662       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     512     32      SKIP    SKIP    3.971       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     512     64      SKIP    SKIP    4.412       
sweep     9216x9216 scalar=0.200000   basic     9216    0.200     512     128     SKIP    SKIP    4.064       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     64      8       SKIP    SKIP    14.389      
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     64      16      SKIP    SKIP    7.816       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     64      32      SKIP    SKIP    4.726       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     64      64      SKIP    SKIP    3.896       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     64      128     SKIP    SKIP    3.783       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     128     8       SKIP    SKIP    7.817       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     128     16      SKIP    SKIP    4.717       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     128     32      SKIP    SKIP    3.911       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     128     64      SKIP    SKIP    3.783       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     128     128     SKIP    SKIP    3.775       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     256     8       SKIP    SKIP    4.720       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     256     16      SKIP    SKIP    3.901       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     256     32      SKIP    SKIP    3.787       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     256     64      SKIP    SKIP    3.782       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     256     128     SKIP    SKIP    3.837       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     512     8       SKIP    SKIP    3.911       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     512     16      SKIP    SKIP    3.785       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     512     32      SKIP    SKIP    3.786       
sweep     9216x9216 scalar=0.200000   float4    9216    0.200     512     64      SKIP    SKIP    3.830       
